更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL
2024-08-01,株式会社ブリッジヘッドコンサルティング,医療コンサルティング,求人なし,,兵庫県宝塚市御殿山3-13-25,2014,代表取締役 南田 匡史,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ＭＡＩＮＪＥＴ,調剤薬局・ドラッグストア業界,求人なし,,岡山県岡山市北区津島本町16-33,2007,代表取締役 角谷 栄男,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ＳＵＮ　ＧＬＯＷ,福祉・介護関連サービス,求人なし,,岡山県倉敷市児島稗田町1707,2009,代表取締役 西山 元敬,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ｎｏｒｔｈ　Ｈａｎｄ,調剤薬局・ドラッグストア業界,求人なし,,広島県安芸郡府中町柳ケ丘16-7,2006,代表取締役 北村 聡,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ｏｆｆｉｃｅ　Ｚｏｏ,福祉・介護関連サービス,求人なし,,広島県広島市南区青崎1-5-10コーポアオサキ 102,2011,代表取締役 鍛島 大典,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社福岡動物臨床研究所,病院・大学病院・クリニック,求人なし,,福岡県福岡市博多区月隈5-2-40,2004,代表取締役 矢野 淳,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,エダンズ株式会社,その他医療関連,求人なし,,福岡県福岡市中央区港2-12-13エダンズＢｌｄ．,2008,代表取締役 ダコスタ・トーマス,36 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社メディカルイングス,医療機器メーカー業界,求人なし,,福岡県大野城市川久保1-17-13,2003,代表取締役 重光 芳政,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,Ｈａｐｐｙ　Ｃａｒｅ　Ｌｉｆｅ株式会社,福祉・介護関連サービス,求人なし,,佐賀県嬉野市嬉野町大字下野乙1912-1,2013,代表取締役 中林 正太,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ｌ－はぴねす,福祉・介護関連サービス,求人なし,,鹿児島県鹿児島市皇徳寺台3-70-20,2015,代表取締役 細樅 和誠,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社未来図Ｌａｂｏ,福祉・介護関連サービス,求人なし,,宮崎県宮崎市大島町前田323-7,2014,代表取締役 金子 茂稔,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社メジャーサポートサービス,福祉・介護関連サービス,求人なし,,沖縄県那覇市久米2-3-14セゾン久米ビル 2Ｆ,2014,代表取締役 寺田 清隆,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ｔｗｏ．ｓｅｖｅｎ,福祉・介護関連サービス,求人なし,,北海道札幌市中央区宮の森一条6-2-15,2010,代表取締役 清水 宏保,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,地方独立行政法人静岡市立静岡病院,病院・大学病院・クリニック,求人なし,,静岡県静岡市葵区追手町10-93,2016,理事長 宮下 正,"4,919 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ベストヘルスコーポレーション,医薬品・医療機器・ライフサイエンス・医療系サービス,求人なし,,東京都港区麻布十番3-14-3,2015,代表取締役 齊藤 綾子,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,ＢＩＺＰＩＣＫ株式会社,調剤薬局・ドラッグストア業界,求人なし,,千葉県千葉市美浜区打瀬2-16パティオス17番街 1Ｆ,2011,代表取締役 内島 蔵人,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社うみのかぜ,福祉・介護関連サービス,求人なし,,神奈川県横浜市中区本町1-5-2ロワレール横浜本町 902,2015,代表取締役 山村 宏記,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ａｃｔｉｏｎ　ＯＮＥ,福祉・介護関連サービス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 【兵庫で継続成長！安定した会社です】■介護医療に関するコンサルティング■調剤薬局経営■福祉用具レンタル、販売■住宅改修、改造、各種リフォーム■マンション設備・不動産管理 2022年5月doda掲載求人より引用,兵庫県尼崎市昭和南通3-26第一松本ビル 2Ｆ,2012,代表取締役 井上 龍二朗,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社スマイルフューチャー,医薬品・医療機器・ライフサイエンス・医療系サービス,求人なし,,滋賀県近江八幡市上野町46,2015,代表取締役 一面 俊明,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,レイサーチ・ジャパン株式会社,その他医療関連,求人なし,,東京都千代田区内幸町1-3-1,2016,代表取締役 アンダース・ヨハン・レフ,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,ＫＩＹＡＮ　ＰＨＡＲＭＡ株式会社,医薬品メーカー業界,求人なし,,東京都千代田区麹町6-2-6ＰＭＯ麹町 8Ｆ,2016,代表取締役 石川 浩之,200 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社メディエスタ,調剤薬局・ドラッグストア業界,求人なし,,静岡県静岡市葵区昭府2-17-2,2016,代表取締役 木俣 雄介,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社プロント,福祉・介護関連サービス,求人なし,,北海道札幌市西区八軒一条西1-3-15,2016,代表取締役 佐々木 史子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社アイロムＮＡ,CRO,求人なし,,北海道札幌市中央区北五条西2-5ＪＲタワーオフィスプラザさっぽろ 12Ｆ,2016,代表取締役 松島 正明,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社サクラ歯研,医薬品・医療機器・ライフサイエンス・医療系サービス,求人なし,,大阪府堺市北区北長尾町8-1-23すばるビルⅡ 3～6Ｆ,1992,代表取締役 松岡 伸輔,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,地方独立行政法人長野市民病院,病院・大学病院・クリニック,求人なし,,長野県長野市大字富竹1333-1,2016,理事長 池田 宇一,"2,654 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人長浜市社会福祉協議会,福祉・介護関連サービス,求人なし,,滋賀県長浜市湖北町速水2745,2006,理事長 冨永 喜久男,"1,670 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社エル・エフ・シー,福祉・介護関連サービス,求人なし,,福岡県福岡市南区桧原5-18-12オリーブの木 ひばる内,2016,代表取締役 大神 勇祐,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,地方独立行政法人総合病院国保旭中央病院,病院・大学病院・クリニック,求人なし,,千葉県旭市イ1326,2016,理事長 吉田 象二,"10,725 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,地方独立行政法人佐世保市総合医療センター,病院・大学病院・クリニック,求人なし,,長崎県佐世保市平瀬町9-3,2016,理事長 増﨑 英明,"3,708 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人長良福祉会,福祉・介護関連サービス,求人なし,,岐阜県岐阜市長良仙田町2-6-2,2003,理事長 山田 稔,420 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人真蓮会,福祉・介護関連サービス,求人なし,,大阪府大阪市西区新町1-9-11,2014,理事長 山本 眞,122 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人玉山秀峰会,福祉・介護関連サービス,求人なし,,岩手県盛岡市下田字石羽根99-901,1983,理事長 岡本 宗明,725 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人雲南広域福祉会,福祉・介護関連サービス,求人なし,,島根県雲南市木次町下熊谷1259-1,1999,理事長 山本 重明,306 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人力智会,福祉・介護関連サービス,求人なし,,鹿児島県鹿児島市谷山中央1-4319,2003,理事長 三宅 智,741 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人初穂会,福祉・介護関連サービス,求人なし,,千葉県千葉市稲毛区萩台町380-2,2005,理事長 林 隆春,848 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人みずほの福祉会,福祉・介護関連サービス,求人なし,,栃木県宇都宮市上桑島町1339-2,2005,理事長 生沼 清司,772 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人榮惣会,福祉・介護関連サービス,求人なし,,青森県青森市大字新城字平岡75-292,2011,理事長 齋藤 貴子,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人新橋会,福祉・介護関連サービス,求人なし,,群馬県邑楽郡明和町南大島253-1,2001,理事長 朝本 豪人,931 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人天恵園,福祉・介護関連サービス,無,,埼玉県越谷市千間台東1-21-6ダイアパレス千間台 108,2015,理事長 関根 史,38 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人いぶきサポート協会,福祉・介護関連サービス,求人なし,,新潟県新潟市東区紫竹卸新町2007-1,2013,理事長 広岡 優次,225 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人育福会,福祉・介護関連サービス,無,,大阪府茨木市東中条町1-5,2014,理事長 坪内 隆,431 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人千聖会,福祉・介護関連サービス,求人なし,,長野県千曲市大字上山田2454,1975,理事長 寺澤 省全,502 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人杏園福祉会,福祉・介護関連サービス,求人なし,,愛知県名古屋市熱田区比々野町27,2014,理事長 伊藤 由季子,"1,253 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人琥珀会,福祉・介護関連サービス,求人なし,,岩手県久慈市小久慈町第19地割118-1,2014,理事長 田代 文雄,145 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人博楽福祉會,福祉・介護関連サービス,求人なし,,鹿児島県南さつま市金峰町浦之名1430,2013,理事長 石堂 博司,138 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人桜の里会,福祉・介護関連サービス,求人なし,,埼玉県久喜市久本寺548-2,2013,理事長 鳥山 宏,103 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人京都眞生福祉会,福祉・介護関連サービス,求人なし,,京都府亀岡市余部町谷川尻11-5,2007,理事長 武田 敏也,"2,546 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人輝宝福祉会,福祉・介護関連サービス,求人なし,,宮城県石巻市蛇田字沖13,2012,理事長 小野﨑 秀通,324 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人未来福祉会,福祉・介護関連サービス,求人なし,,福岡県古賀市花見南2-13-13,2013,理事長 薄 秀治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人風の馬,福祉・介護関連サービス,求人なし,,大阪府堺市西区鳳北町10-31-1,2010,理事長 馬場 武彦,"1,394 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人ともにわ会,福祉・介護関連サービス,求人なし,,神奈川県横浜市都筑区折本町448-3,2013,理事長 菅野 義矩,83 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人双葉の園,福祉・介護関連サービス,求人なし,,東京都目黒区大橋2-16-6,1964,理事長 西 大記,706 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人雄峰福祉会,福祉・介護関連サービス,求人なし,,福島県福島市仁井田字下川原17,2006,理事長 栗木 繁行,680 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人百八会,福祉・介護関連サービス,求人なし,,熊本県熊本市東区佐土原3-12-26,2004,理事長 東野 裕司,335 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人南嶺山福祉会,福祉・介護関連サービス,求人なし,,鹿児島県出水市西出水町367,2015,理事長 鶴田 孝雄,403 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人寿老福祉会,福祉・介護関連サービス,求人なし,,東京都墨田区東墨田3-13-4,2014,理事長 藤井 諭,400 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人労働者クラブ,福祉・介護関連サービス,求人なし,,東京都北区豊島3-4-15,1968,理事長 白石 とし子,487 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人群星福祉会,福祉・介護関連サービス,求人なし,,沖縄県豊見城市字豊崎1-389,2006,理事長 名嘉元 利保,395 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人京都西京福祉会,福祉・介護関連サービス,求人なし,,京都府京都市西京区桂艮町5,2013,理事長 近藤 永太郎,327 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人みどりヶ丘会,福祉・介護関連サービス,求人なし,,大阪府高槻市奈佐原4-7-15,1999,理事長 甲斐 史敏,"1,942 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人幸ヒューマンネットワーク,福祉・介護関連サービス,求人なし,,神奈川県川崎市幸区古市場1808-1Ｎ・エール,2005,理事長 田邉 光一,126 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人鶯和会,福祉・介護関連サービス,求人なし,,栃木県那須郡那珂川町和見1940-1,2014,理事 髙野 和郎,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人横浜愛育会,福祉・介護関連サービス,求人なし,,神奈川県横浜市神奈川区大口通138-12,2007,理事長 松尾 みち子,252 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人としなが福祉会,福祉・介護関連サービス,無,,愛知県豊川市足山田町年長1-6,1996,理事長 鈴木 教仁,"1,058 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人ちづる会,福祉・介護関連サービス,求人なし,,愛知県春日井市鳥居松町4-236,2014,理事長 鳥居 千鶴子,151 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人尚仁福祉会,福祉・介護関連サービス,求人なし,,鳥取県日野郡江府町大字久連7,1992,理事長 祇園 崇広,802 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人無患子の木,福祉・介護関連サービス,求人なし,,神奈川県川崎市中原区宮内2-26-40,2010,理事長 奥村 寿之,659 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人滉洋会,福祉・介護関連サービス,求人なし,,群馬県高崎市吉井町岩崎2316-7,2015,理事長 江原 聖洋,114 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人調布を耕す会,福祉・介護関連サービス,求人なし,,東京都調布市布田3-20-1,2003,理事長 原 良男,419 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人延德会,福祉・介護関連サービス,求人なし,,愛知県一宮市千秋町佐野字五反田15,2005,理事長 磯村 豊司,244 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人共働福祉会,福祉・介護関連サービス,求人なし,,広島県福山市久松台3-1-39,2005,理事長 戸田 榮次,419 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人日本ウェルフェアサポート,福祉・介護関連サービス,求人なし,,千葉県千葉市花見川区横戸町899-1,2010,理事長 林 久雄,180 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人枚岡福祉会,福祉・介護関連サービス,無,,大阪府東大阪市昭和町5-10,2003,理事長 片山 孝子,786 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人せいわ福祉会,福祉・介護関連サービス,求人なし,,兵庫県加古川市別府町新野辺1429-10,2013,理事長 小林 良平,190 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人近江笑生会,福祉・介護関連サービス,求人なし,,滋賀県大津市松が丘7-15-6,2013,理事長 加藤 卓司,432 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人千翁福祉会,福祉・介護関連サービス,求人なし,,福島県双葉郡川内村大字上川内字迎原78,2014,理事長 佐川 文彦,448 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人裕信福祉会,福祉・介護関連サービス,無,,大阪府大阪市大正区小林東2-6-15,2014,理事長 石村 俊信,436 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人井の頭会,福祉・介護関連サービス,求人なし,,東京都三鷹市井の頭3-16-31,1963,理事長 西堀 廣子,669 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人草の根共生会,福祉・介護関連サービス,求人なし,,大阪府東大阪市長瀬町2-13-10,2013,理事長 山田 義昭,405 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人弘林会,福祉・介護関連サービス,求人なし,,埼玉県草加市新里町1148-1,2011,理事長 吉岡 弘司,256 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人ユームツ会,福祉・介護関連サービス,求人なし,,沖縄県宮古島市平良字下里2632-1,2002,理事長 宮里 不二雄,"1,143 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人新座市障害者を守る会,福祉・介護関連サービス,求人なし,,埼玉県新座市新塚1-4-1,2013,理事長 石井 英子,191 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人矢巾町社会福祉協議会,福祉・介護関連サービス,求人なし,,岩手県紫波郡矢巾町大字南矢幅13-123,1981,理事長 藤原 義一,175 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人福誠会,福祉・介護関連サービス,求人なし,,愛知県名古屋市守山区守牧町128-5,2004,理事長 川島 誠,792 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人好和会,福祉・介護関連サービス,求人なし,,滋賀県大津市観音寺10-25,2010,理事長 金子 征二,302 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人弘房福祉会,福祉・介護関連サービス,求人なし,,大阪府寝屋川市日新町17-43,2014,理事長 小林 卓,123 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人市川レンコンの会,福祉・介護関連サービス,求人なし,,千葉県市川市下新宿22-6101,2004,理事長 林 敏之,104 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人しあわせあっくん,福祉・介護関連サービス,求人なし,,愛知県名古屋市瑞穂区大喜町4-15-3,2000,理事長 鰐部 加代子,192 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人かがやき福祉会,福祉・介護関連サービス,求人なし,,新潟県阿賀野市寺社3848-212,2014,理事長 小野里 浩,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人新考会,福祉・介護関連サービス,無,,神奈川県厚木市旭町3-7-3,2004,理事長 湯淺 隆夫,"1,126 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人志楽園福祉会,福祉・介護関連サービス,求人なし,,愛知県豊田市加納町向井山9-1,2015,理事長 小堀 誠,263 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人エージングライフ福祉会,福祉・介護関連サービス,無,,大阪府堺市中区福田339-2,2001,理事長 沼谷 勝之,"1,673 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人鶴山記念会,福祉・介護関連サービス,求人なし,,岩手県滝沢市鵜飼細谷地146-45,2013,理事長 菊田 弟一,175 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人タイケン福祉会,福祉・介護関連サービス,求人なし,,埼玉県志木市柏町5-5-38,2011,理事長 柴岡 三千夫,778 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人輝の子福祉会,福祉・介護関連サービス,求人なし,,福岡県大牟田市大字草木363,2013,理事長 宮﨑 史郷,382 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人梼原町社会福祉協議会,福祉・介護関連サービス,求人なし,,高知県高岡郡檮原町川西路2321-1,2014,理事長 上川 雄康,7 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人三誓会,福祉・介護関連サービス,求人なし,,広島県三原市皆実4-9-5,2010,理事長 山下 栄一,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人春喜会,福祉・介護関連サービス,求人なし,,千葉県長生郡睦沢町北山田724-1,2014,理事長 新沢 敏夫,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人美勢会,福祉・介護関連サービス,求人なし,,新潟県新潟市西区小新5-8-28,2011,理事長 白川 初美,417 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人ユトリア会,福祉・介護関連サービス,求人なし,,山形県山形市香澄町2-3-32,2011,理事長 小泉 博禧,373 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人ナガタナガサキ,福祉・介護関連サービス,求人なし,,茨城県つくば市小野崎311-1,2011,理事長 林 朝子,247 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人心侑会,福祉・介護関連サービス,求人なし,,北海道函館市亀田港町56-12,2013,理事長 廣瀬 隆之,466 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人菊光会,福祉・介護関連サービス,求人なし,,千葉県松戸市仲井町1-32-6,2002,理事長 佐々木 翠,678 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人夢みの里,福祉・介護関連サービス,求人なし,,宮城県石巻市門脇町1-2-21,2010,理事長 菅原 桂子,"1,090 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人寧楽ゆいの会,福祉・介護関連サービス,求人なし,,奈良県奈良市西大寺国見町3-5-5,2001,理事長 庄野 千惠子,239 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人柏木福祉会,福祉・介護関連サービス,求人なし,,宮城県仙台市青葉区柏木1-1-36,2012,理事長 南條 紘,256 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人函館博栄会,病院・大学病院・クリニック,求人なし,,北海道函館市湯川町2-32-6,2014,理事長 三上 昭廣,28 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人遊星会,福祉・介護関連サービス,無,,大阪府大阪市西区京町堀2-5-14,2013,理事長 南條 猛,269 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人拓く,福祉・介護関連サービス,求人なし,,福岡県久留米市安武町武島468-2,2000,理事長 馬場 篤子,907 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
