更新日,名称,業界(小分類),求人有無,所在地,設立,平均年齢,従業員数,企業URL,代表者,資本金,事業内容
2024-08-01,医療法人猪瀬整形外科クリニック,病院・大学病院・クリニック,求人なし,大阪府豊中市寺内2-4-1緑地駅ビル 2Ｆ,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 大西 奉文,87 百万円,
2024-08-01,医療法人いろは会,病院・大学病院・クリニック,求人なし,大阪府箕面市西小路3-17-37,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 太田 光重,95 百万円,
2024-08-01,有限会社共立商事,医薬品卸,求人なし,栃木県真岡市並木町4-5-3,1983,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 宮本 説子,10 百万円,
2024-08-01,社会福祉法人ジー・ケー社会貢献会,福祉・介護関連サービス,求人なし,大阪府大阪市住之江区浜口東2-5-14,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 椋本 充士,"1,733 百万円",
2024-08-01,ホンマ薬品有限会社,調剤薬局・ドラッグストア業界,求人なし,群馬県前橋市荒牧町1-11-5,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 本間 悠紀夫,3 百万円,
2024-08-01,有限会社共栄ディ・エス,医療機器卸,求人なし,大阪府大阪市浪速区桜川2-9-13桜川パークマンション 2Ｆ,2000,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小川 和敬,3 百万円,
2024-08-01,有限会社金子調剤薬局,調剤薬局・ドラッグストア業界,求人なし,群馬県前橋市紅雲町2-20-10ＩＮビル 101,1993,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 金子 典之,5 百万円,
2024-08-01,有限会社新日本総合企画,医療機器卸,求人なし,群馬県前橋市大友町1-13-12学校生協会館 3Ｆ,1992,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 渡邊 幸雄,3 百万円,
2024-08-01,有限会社前橋調剤センター,調剤薬局・ドラッグストア業界,求人なし,群馬県前橋市若宮町1-1-10,1986,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田尻 耕太郎,6 百万円,
2024-08-01,社会福祉法人旭長寿の森,福祉・介護関連サービス,求人なし,大阪府大阪市旭区赤川1-6-12,1999,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 森長 恭子,"3,865 百万円",
2024-08-01,有限会社天川薬局,医薬品メーカー業界,求人なし,群馬県前橋市駒形町1120,1953,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,3 百万円,
2024-08-01,有限会社群大前薬局,調剤薬局・ドラッグストア業界,求人なし,東京都千代田区丸の内1-9-1,1963,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 三津原 庸介,3 百万円,
2024-08-01,株式会社玄妙洞本舗,医薬品メーカー業界,求人なし,群馬県前橋市六供町1097,1963,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 坂本 光由,10 百万円,
2024-08-01,医療法人財団厚生会,病院・大学病院・クリニック,求人なし,大阪府大阪市中央区瓦屋町3-2-7,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 川井 秀一,,
2024-08-01,株式会社エムケー・メディカル,調剤薬局・ドラッグストア業界,求人なし,群馬県太田市新田市野井町795-1,1986,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西村 幸雄,10 百万円,
2024-08-01,株式会社コバトラ薬局,調剤薬局・ドラッグストア業界,求人なし,群馬県桐生市本町5-38,1971,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡田 尚久,10 百万円,
2024-08-01,医療法人藤江クリニック,病院・大学病院・クリニック,求人なし,大阪府柏原市清州2-1-40,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 藤江 博,10 百万円,
2024-08-01,有限会社三恵薬局,調剤薬局・ドラッグストア業界,求人なし,群馬県桐生市本町6-398,1951,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 浦野 恵三,3 百万円,
2024-08-01,医療法人松尾医院,病院・大学病院・クリニック,求人なし,大阪府大阪狭山市金剛1-3-6,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 松尾 高志,10 百万円,
2024-08-01,有限会社竹中工業所,医療機器メーカー業界,求人なし,群馬県太田市西新町9-8,1963,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 大橋 一夫,15 百万円,
2024-08-01,有限会社あおぞら,福祉・介護関連サービス,求人なし,大阪府大阪市港区三先1-1-19,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西田 裕,3 百万円,
2024-08-01,株式会社メイプル,医薬品卸,求人なし,大阪府大阪市淀川区野中北2-2-11,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 齊藤 浩司,10 百万円,
2024-08-01,有限会社アルサ会,福祉・介護関連サービス,求人なし,大阪府大阪市旭区清水4-11-38,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山田 賢治,3 百万円,
2024-08-01,タムラ医療機器販売株式会社,医療機器メーカー業界,求人なし,埼玉県川越市大字的場980-7,1972,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田村 隆,10 百万円,
2024-08-01,医療法人社団ゆうしん,病院・大学病院・クリニック,求人なし,埼玉県川越市大字砂久保161-23,2007,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 西川 祐一,248 百万円,
2024-08-01,有限会社ＵＢＥデンタル・ラボ,医療機器メーカー業界,求人なし,山口県宇部市厚南北5-2-9201,2004,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 東村 實,10 百万円,
2024-08-01,有限会社ダイワ,調剤薬局・ドラッグストア業界,求人なし,埼玉県川口市本前川1-13-6,1968,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 渡辺 圭一,4 百万円,
2024-08-01,株式会社さくら薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県川口市飯塚3-15-10,1967,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 針谷 康明,10 百万円,
2024-08-01,有限会社久喜製作所,医療機器メーカー業界,求人なし,埼玉県川口市東領家3-6-9,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 羽賀 俊一郎,3 百万円,
2024-08-01,有限会社関口薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県川口市幸町1-10-9,1974,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 関口 一,4 百万円,
2024-08-01,株式会社郡司薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県川口市仲町17-3,1961,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 郡司 勝之,10 百万円,
2024-08-01,有限会社アポス調剤薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県さいたま市浦和区岸町7-1-29,1980,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 石田 制利,10 百万円,
2024-08-01,医療法人小野耳鼻咽喉科医院,病院・大学病院・クリニック,求人なし,埼玉県さいたま市浦和区仲町2-16-5浦和ＣＳＢビル2Ｆ,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小野 敬子,,
2024-08-01,医療法人社団田平内科,病院・大学病院・クリニック,求人なし,埼玉県さいたま市緑区大字大門1711-2,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 田平和宣,,
2024-08-01,医療法人石川病院,病院・大学病院・クリニック,求人なし,埼玉県さいたま市浦和区高砂3-17-17,1964,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 石川 博臣,372 百万円,
2024-08-01,有限会社青葉ケミカル,調剤薬局・ドラッグストア業界,求人なし,埼玉県春日部市南2-6-26,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 小田切 順子,5 百万円,
2024-08-01,有限会社浦和義肢装具製作所,医療機器メーカー業界,求人なし,埼玉県さいたま市浦和区大東1-4-9,1965,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 新藤 善之,3 百万円,
2024-08-01,エヴァンス有限会社,医療機器卸,求人なし,埼玉県さいたま市見沼区東宮下2-147,1976,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小沼 良昭,3 百万円,
2024-08-01,医療法人けやき医院,病院・大学病院・クリニック,求人なし,埼玉県さいたま市西区大字中野林643-2,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 川口 里江子,,
2024-08-01,社会福祉法人わかたけ共済部,福祉・介護関連サービス,求人なし,福井県越前市高木町12-7-1,1952,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 白藤 宗徳,"4,674 百万円",
2024-08-01,医療法人小児科金子医院,病院・大学病院・クリニック,求人なし,埼玉県さいたま市大宮区上小町338,1993,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 金子 家明,68 百万円,
2024-08-01,有限会社野口薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県さいたま市北区東大成町1-526野口ビル,1958,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 野口 和宏,7 百万円,
2024-08-01,医療法人新光会,病院・大学病院・クリニック,求人なし,埼玉県さいたま市南区沼影1-10-1ラムザタワー 5Ｆ,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 新保 光一郎,315 百万円,
2024-08-01,天沼薬品株式会社,調剤薬局・ドラッグストア業界,求人なし,埼玉県さいたま市北区日進町2-781ＡＭビル 3Ｆ,1961,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,10 百万円,
2024-08-01,医療法人堀崎弘恵診療所,病院・大学病院・クリニック,求人なし,埼玉県さいたま市見沼区堀崎町564-3,1992,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小泉 忠弘,35 百万円,
2024-08-01,埼玉製薬株式会社,医薬品メーカー業界,求人なし,埼玉県さいたま市大宮区東町2-16クリーンビル秋谷 201,1922,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,10 百万円,
2024-08-01,医療法人慈風会,病院・大学病院・クリニック,求人なし,福井県坂井市三国町北本町2-2-6,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 宮﨑 茂則,80 百万円,
2024-08-01,有限会社共栄薬品,医薬品卸,求人なし,埼玉県さいたま市西区大字清河寺864-26,1982,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 小関 広孝,3 百万円,
2024-08-01,有限会社新井薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県秩父市本町1-19,1952,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,3 百万円,
2024-08-01,有限会社秩父薬剤師会調剤センター,調剤薬局・ドラッグストア業界,求人なし,埼玉県秩父市道生町23-12,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小林 悟,35 百万円,
2024-08-01,有限会社秩父薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県秩父市大野原966,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今泉 直樹,5 百万円,
2024-08-01,有限会社みやがわ化粧品店,調剤薬局・ドラッグストア業界,求人なし,埼玉県所沢市松葉町10-5,1971,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 宮川 敏之,6 百万円,
2024-08-01,株式会社大成歯研,その他医療関連,求人なし,埼玉県所沢市花園2-2351-10,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 新倉 正,10 百万円,
2024-08-01,医療法人久我クリニック,病院・大学病院・クリニック,求人なし,埼玉県所沢市日吉町8-11,1994,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,183 百万円,
2024-08-01,有限会社所沢補聴器センター,医療機器メーカー業界,求人なし,埼玉県所沢市くすのき台3-18-13,1986,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 島田 賢二,3 百万円,
2024-08-01,株式会社灰屋薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県所沢市元町22-11シャンゼール所沢 1Ｆ,1950,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 齋藤 祐次,10 百万円,
2024-08-01,医療法人社団三光会,病院・大学病院・クリニック,求人なし,埼玉県本庄市千代田3-4-2,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 薗部 光一,211 百万円,
2024-08-01,医療法人五十嵐整形外科医院,病院・大学病院・クリニック,求人なし,埼玉県本庄市若泉1-9-8,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 五十嵐 昇,10 百万円,
2024-08-01,医療法人本庄皮膚科医院,病院・大学病院・クリニック,求人なし,埼玉県本庄市銀座3-7-21,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 澁谷 修一郎,40 百万円,
2024-08-01,有限会社薬の太田,調剤薬局・ドラッグストア業界,求人なし,埼玉県本庄市中央1-6-29,1953,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉野 早苗,3 百万円,
2024-08-01,有限会社テラウチ,調剤薬局・ドラッグストア業界,求人なし,和歌山県和歌山市北野443,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 寺内 文紀,3 百万円,
2024-08-01,有限会社ファーマシーいまい,調剤薬局・ドラッグストア業界,求人なし,埼玉県春日部市道口蛭田178-14,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今井 良仁,3 百万円,
2024-08-01,株式会社調剤薬局ホンダ,調剤薬局・ドラッグストア業界,求人なし,和歌山県和歌山市西庄1016,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 本田 健太郎,10 百万円,
2024-08-01,有限会社春日部理工,医療機器メーカー業界,求人なし,埼玉県春日部市備後東1-1-22,1969,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 平良 知史,3 百万円,
2024-08-01,有限会社天神堂薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県狭山市入間川2-19-36,1960,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中島 金治,5 百万円,
2024-08-01,有限会社狭山台薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県狭山市狭山台4-2-2,1985,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 中園 和稼,3 百万円,
2024-08-01,城西医療株式会社,医療機器メーカー業界,求人なし,埼玉県深谷市原郷500,1967,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 荒井 豊江,10 百万円,
2024-08-01,有限会社大正ステンレス工業,医療機器メーカー業界,求人なし,埼玉県上尾市浅間台4-12-36,1974,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 奥山 眞智子,3 百万円,
2024-08-01,有限会社成光堂薬局,調剤薬局・ドラッグストア業界,求人なし,埼玉県上尾市仲町1-7-9,1961,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 井ノ山 忠男,3 百万円,
2024-08-01,医療法人サンアイ,病院・大学病院・クリニック,求人なし,埼玉県上尾市宮本町4-18,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 中田 吉則,150 百万円,
2024-08-01,社会福祉法人大和高原育成福祉会,福祉・介護関連サービス,求人なし,奈良県奈良市都祁友田町515-1,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事 岡田 充弘,841 百万円,
2024-08-01,社会福祉法人大倭安宿苑,福祉・介護関連サービス,求人なし,奈良県奈良市大倭町5-27,1956,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 矢追 美壽紀,"4,483 百万円",
2024-08-01,社会福祉法人宝山寺福祉事業団,福祉・介護関連サービス,求人なし,奈良県生駒市元町2-14-8桃李館内,1952,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 辻村 泰範,"5,730 百万円",
2024-08-01,みどり薬局有限会社,調剤薬局・ドラッグストア業界,求人なし,千葉県千葉市中央区院内1-4-14,1970,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田上 達也,3 百万円,
2024-08-01,株式会社千葉内外薬品,調剤薬局・ドラッグストア業界,求人なし,千葉県千葉市中央区浜野町401-1,1973,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 米原 忠秀,10 百万円,
2024-08-01,有限会社水野薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県千葉市中央区今井3-26-15,1977,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 水野 茂,3 百万円,
2024-08-01,若菜薬業株式会社,調剤薬局・ドラッグストア業界,求人なし,千葉県千葉市中央区南町2-10-19,1981,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 若菜 京子,10 百万円,
2024-08-01,医療法人中野クリニック,病院・大学病院・クリニック,求人なし,大阪府泉佐野市上町2-2-19,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 中野 義一,222 百万円,
2024-08-01,株式会社千城医理科,医療機器卸,求人なし,千葉県千葉市若葉区千城台南2-3-14,1977,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 森島 俊二,10 百万円,
2024-08-01,有限会社ナガセ薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県市川市八幡3-20-2イムーブルナガセ 101,1952,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松宮 陽子,4 百万円,
2024-08-01,有限会社市川家政婦紹介所,その他医療関連,求人なし,千葉県市川市市川1-13-32401,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 永岡 好子,5 百万円,
2024-08-01,有限会社伊藤薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県市川市真間4-5-8,1952,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 伊藤 真由美,3 百万円,
2024-08-01,有限会社補生堂薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県市川市八幡3-3-2Ｊ103,1951,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 畝本 一実,10 百万円,
2024-08-01,株式会社十字薬品,調剤薬局・ドラッグストア業界,求人なし,千葉県船橋市習志野台2-73-11,1970,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 三浦 敬之,10 百万円,
2024-08-01,有限会社シオヅカ薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県木更津市高柳3-1-28,1959,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 塩塚 裕子,3 百万円,
2024-08-01,有限会社やなぎ屋藥局,調剤薬局・ドラッグストア業界,求人なし,千葉県木更津市本郷1-6-17,1951,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐々木 幸生,5 百万円,
2024-08-01,有限会社イトー薬品,医薬品卸,求人なし,千葉県松戸市二十世紀が丘萩町199-2,1973,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 伊東 良雄,3 百万円,
2024-08-01,医療法人仁愛会川村産婦人科,病院・大学病院・クリニック,求人なし,京都府京都市左京区下鴨高木町40,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 川村 直行,222 百万円,
2024-08-01,有限会社根本薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県松戸市根本7-8,1970,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡部 栄一,3 百万円,
2024-08-01,有限会社協和デンタル・ラボラトリー,医療機器卸,求人なし,千葉県松戸市新松戸3-260-1,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 木村 健二,3 百万円,
2024-08-01,有限会社島田薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県野田市日の出町19-2,1974,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 島田 恭光,5 百万円,
2024-08-01,医療法人社団新村医院,病院・大学病院・クリニック,求人なし,千葉県野田市瀬戸84,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 新村 與平,,
2024-08-01,有限会社サクマ薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県香取市佐原イ3393-1,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐久間 俊光,3 百万円,
2024-08-01,有限会社星野薬舗,調剤薬局・ドラッグストア業界,求人なし,千葉県茂原市茂原158,1964,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 星野 初枝,3 百万円,
2024-08-01,有限会社ホウショウ,調剤薬局・ドラッグストア業界,求人なし,東京都葛飾区金町3-8-4,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 蓬生 幸夫,3 百万円,
2024-08-01,株式会社豊福,医療機器メーカー業界,求人なし,千葉県佐倉市六崎236,1985,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 豊福 映吉,10 百万円,
2024-08-01,有限会社第一調剤薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県佐倉市ユーカリが丘6-4-7Ｒビル 1Ｆ,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 外山 千佳,5 百万円,
2024-08-01,株式会社東光堂薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県東金市東金1240,1953,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,10 百万円,
2024-08-01,有限会社仙石堂,医療機器メーカー業界,求人なし,千葉県東金市東金1216,1953,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山中 利浩,3 百万円,
2024-08-01,有限会社セイワメディカル,医療機器卸,求人なし,千葉県習志野市袖ケ浦1-29-2マープル津田沼スカイハイツＢ棟 150,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田中 博文,10 百万円,
2024-08-01,富士松工業株式会社,医薬品メーカー業界,求人なし,千葉県習志野市谷津3-30-2,1966,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 瀧田 亨周,10 百万円,
2024-08-01,有限会社山口薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県柏市高田1001-19,1982,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山口 武,3 百万円,
2024-08-01,株式会社ウミヒラ,医療機器メーカー業界,求人なし,京都府京都市南区久世殿城町126,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 海平 匡可,20 百万円,
2024-08-01,医療法人清歯会,病院・大学病院・クリニック,求人なし,京都府京都市西京区川島六ノ坪町63-1,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 浅井 拓,48 百万円,
2024-08-01,有限会社ウラヤス薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県浦安市美浜3-26-13,1984,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 後藤 繼廣,3 百万円,
2024-08-01,東京ベイ・浦安市川医療センター,病院・大学病院・クリニック,無,千葉県浦安市当代島3-4-32,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,アクアセルボ株式会社,医療機器メーカー業界,求人なし,東京都千代田区飯田橋3-11-20山田ラインビル 3Ｆ,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 木内 正利,12 百万円,
2024-08-01,医療法人真心会,病院・大学病院・クリニック,求人なし,滋賀県草津市野路1-13-3,1994,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 野村 哲哉,331 百万円,
2024-08-01,社会福祉法人さざなみ会,福祉・介護関連サービス,求人なし,滋賀県彦根市城町2-13-3,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 上田 聡,871 百万円,
2024-08-01,有限会社ファーマシー池田,調剤薬局・ドラッグストア業界,求人なし,東京都千代田区九段南4-6-1103,1985,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 池田 賢一,5 百万円,
2024-08-01,医療法人康雄会,病院・大学病院・クリニック,求人なし,兵庫県神戸市灘区備後町3-2-18,1978,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 西 昂,178 百万円,
2024-08-01,日本チバガイギー株式会社,医薬品メーカー業界,無,東京都港区虎ノ門1-23-1虎ノ門ヒルズ森タワー,1952,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 李 堯,100 百万円,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■医薬品・再生医療等製品の製造篠山工場はノバルティスファーマ株式会社の生産拠点として、主に医家向け医薬品を徹底した品質管理の基に、独自のノウハウと日本の先端技術とを融合させた生産システムにて、医療現場の二一ズに合った製品を生産しています。 2023年3月doda掲載求人より引用
