更新日,名称,業界(小分類),求人有無,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,事業内容
2024-08-01,ザッツ株式会社,人材紹介・職業紹介,求人なし,千葉県船橋市本町2-29-8マルヤスビル 2Ｆ,2014,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 阿部 勝哉,
2024-08-01,株式会社蒼悠,人材派遣,求人なし,大阪府大阪市港区磯路2-3-15磯路ビル 2Ｆ,2014,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山中 健吾,
2024-08-01,株式会社アンビック,人材派遣,求人なし,大阪府豊中市上津島2-18-26,2014,42 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 秋山 泰次郎,
2024-08-01,株式会社ライフサポート,人材紹介・職業紹介,無,三重県伊勢市小俣町元町1648-10,2008,99 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 加藤 光一,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■フィットネスクラブFC事業■訪問看護事業■ITエンジニア人材派遣・紹介事業■医療介護業界人材の職業紹介事業■人材コンサルティングサービス有料職業紹介事業許可番号：24-ユ-300247労働者派遣事業許可番号：派24-300714 2023年6月doda掲載求人より引用
2024-08-01,株式会社ケイアンドエム,人材派遣,求人なし,静岡県浜松市中央区細島町7-18,1998,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松野 嘉之,
2024-08-01,株式会社ジャパンハンズ,人材紹介・職業紹介,求人なし,東京都台東区日本堤1-12-6,2001,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 経澤 佳久,
2024-08-01,有限会社エイ・アンド・テイー,人材紹介・職業紹介,求人なし,愛知県名古屋市天白区植田1-2116,1988,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山内 明子,
2024-08-01,有限会社キャリア・サポート,研修サービス,求人なし,愛知県名古屋市中区栄5-1-5センチュリー栄 502,2003,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 三厨 万妃江,
2024-08-01,有限会社ブライトワークス,人材紹介・職業紹介,求人なし,愛知県名古屋市中区新栄2-1-4,2005,17 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 三原 美枝子,
2024-08-01,株式会社ゼストテクノ,人材紹介・職業紹介,求人なし,神奈川県平塚市菫平3-6,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中村 圭祐,
2024-08-01,有限会社名古屋エスピー,人材派遣,求人なし,愛知県名古屋市中区大須3-24-21,1960,7 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中島 文子,
2024-08-01,株式会社アサインメントバンク,人材派遣,無,愛知県名古屋市中区錦1-11-20大永ビル 4Ｆ,2014,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 長谷川 佳弘,
2024-08-01,株式会社テクノ・ライフ,人材派遣,求人なし,栃木県佐野市高萩町1314-7,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 阿部 一良,
2024-08-01,ホンダバック株式会社,人材紹介・職業紹介,求人なし,大阪府大阪市東住吉区住道矢田8-3-23,2014,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 播 成仁,
2024-08-01,株式会社カスタマーリソースプランニング,コールセンター,求人なし,大阪府大阪市西区北堀江1-1-7四ツ橋日生ビル 809,2014,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 門脇 透友,
2024-08-01,株式会社コアテクト,人材派遣,求人なし,茨城県水戸市東赤塚2081-1キューコートアカツカ202,2013,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤原 聡美,
2024-08-01,株式会社東洋エリートライン,人材紹介・職業紹介,求人なし,東京都渋谷区東1-2-20,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 久保 順哉,
2024-08-01,株式会社ｊｕｉｃｅ　ｕｐ,人材紹介・職業紹介,求人なし,東京都品川区東五反田2-5-2ＴＨＥ ＣＡＳＫ ＧＯＴＡＮＤＡ 3Ｆ,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 野口 健,
2024-08-01,株式会社トレハン,人材紹介・職業紹介,求人なし,広島県広島市中区大手町5-3-12,2014,79 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 杉川 綾,
2024-08-01,株式会社オフイスニート,人材派遣,求人なし,東京都渋谷区恵比寿1-24-14ＥＸＯＳ恵比寿 3Ｆ、4Ｆ,1988,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 島田 靖代,
2024-08-01,ＮＲＩフィナンシャル・グラフィックス株式会社,アウトソーシング,求人なし,東京都品川区大崎1-2-2アートヴィレッジ大崎セントラルタワー 3Ｆ,2014,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 川田 仁和,
2024-08-01,ジョブスタイル株式会社,人材派遣,無,千葉県木更津市羽鳥野7-19-1,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 梅田 真理子,■労働者派遣業（一般労働者派遣事業許可番号：派12-300465）■職業紹介事業（有料職業紹介事業許可番号：12-ユ-300438）■業務請負・業務委託・教育訓練 2023年8月doda掲載求人より引用
2024-08-01,ＺＥＲＯ商事株式会社,人材紹介・職業紹介,求人なし,大阪府大阪市中央区南久宝寺町3-4-14,2014,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 古川 拓海,
2024-08-01,株式会社ビーシーエムコーポレーション,人材派遣,求人なし,京都府京都市南区上鳥羽鴨田18らくなんビル301－Ｂ,2014,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 水口 拓也,
2024-08-01,株式会社アローズ,人材派遣,求人なし,東京都台東区東上野3-13-2ＡＹビル 301,2013,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大山 裕介,
2024-08-01,株式会社ビージョイント,人材派遣,求人なし,愛知県岡崎市大和町字宮地21-1,2014,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡 敬二,
2024-08-01,エイクエント・エルエルシー,人材派遣,無,東京都港区南青山2-11-16ＭＥＴＬＩＦＥ青山ビル 9Ｆ,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社サントループ,コールセンター,求人なし,埼玉県熊谷市宮前町2-220コーエー宮前町ビル 1Ｆ,2014,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田口 正夫,
2024-08-01,ゼロリコード株式会社,人材紹介・職業紹介,求人なし,福岡県福岡市中央区地行2-4-7413,2014,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 工藤 幸雄,
2024-08-01,株式会社シナフェクト,人材派遣,求人なし,大阪府大阪市中央区南船場3-7-27,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大橋 俊秀,
2024-08-01,株式会社イーストヒル,人材派遣,無,愛知県西尾市吉良町上横須賀寒破池112,2014,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡安 弘康,
2024-08-01,株式会社アンフィニ,人材派遣,無,京都府京都市北区紫竹栗栖町15アンフィニビル 2Ｆ,2014,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松本 健太,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■教育IT事業（個別学習塾「自立学習RED」のフランチャイズ店の経営）■人材派遣事業（派26-300720）■清掃事業■インフラストラクチャー事業■ロジスティクス事業■コールセンター事業■再生可能エネルギー事業 2022年10月doda掲載求人より引用
2024-08-01,株式会社ドリームキャッチャー,人材紹介・職業紹介,求人なし,大阪府大阪市中央区今橋4-3-22淀屋橋山本ビル 6Ｆ,2014,96 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大倉 輝久,
2024-08-01,株式会社ケミック,人材派遣,無,愛知県安城市三河安城本町2-1-4第一東海ビル 204,2002,19 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 沓名 惣平,
2024-08-01,株式会社フォーユーアシストサービス,人材紹介・職業紹介,求人なし,大阪府堺市中区平井853-5,2004,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 平岡 徹也,
2024-08-01,ネクストライン株式会社,コールセンター,無,北海道札幌市豊平区月寒西二条6-1-3,2014,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 金刺 竜也,
2024-08-01,株式会社イーグルマウンテン,人材派遣,求人なし,愛知県名古屋市中区栄2-7-13ヴィア白川1017,2014,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 伊藤 大介,
2024-08-01,株式会社ワンズウィル,研修サービス,求人なし,東京都中央区日本橋3-2-14新槇町ビル別館第一 2Ｆ,2014,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 尾花 彰,
2024-08-01,株式会社メディカルクレア,人材紹介・職業紹介,無,東京都中央区日本橋本町2-3-4江戸ビル 3Ｆ,2010,33 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 宮川 博行,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 1. 医師を中心とした医療従事者の有料人材紹介事業2. 医療モール事業3. 医院、病院の開業支援コンサルティング4. ウェブ戦略に基づく求人広告の制作・運営5. 医療機関のMA及びデューデリジェンス6. リスクマネージメントサービス7. 出版及び広告事業8. その他※厚生労働大臣許可：有料職業紹介事業許可 13-ユ-304696 2023年6月doda掲載求人より引用
2024-08-01,株式会社イング,人材派遣,求人なし,群馬県太田市藤阿久町914-19,2005,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西田 孝昭,
2024-08-01,株式会社ファースト,人材派遣,求人なし,埼玉県草加市北谷1-22-13北谷ビル 3Ｆ,2014,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 新沼 徹,
2024-08-01,株式会社エンターズ,人材紹介・職業紹介,求人なし,東京都中央区銀座3-8-13,2014,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中山 紘太,
2024-08-01,株式会社セールスキャリアエージェント,人材紹介・職業紹介,求人なし,東京都中央区築地3-12-5＋ＳＨＩＦＴ・ＴＳＵＫＩＪＩ 2Ｆ,2014,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 斎藤 信人,
2024-08-01,アイ・ビー・エス・アウトソーシング株式会社,人材派遣,無,群馬県太田市西本町51-9,1985,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 新井田 浩之,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■総合人材サービス／請負業務■一般労働者派遣事業■有料職業紹介事業■各種業務請負業［許可関係］一般労働者派遣業（派）10-300064有料職業紹介事業 10-ユ-300100 2023年7月doda掲載求人より引用
2024-08-01,株式会社グレースコミュニケーション,研修サービス,無,東京都中央区八丁堀4-5-8ＫＤＸ八丁堀ビル 6Ｆ,2012,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 塚本 剛,
2024-08-01,株式会社サンプロスシステム,人材派遣,求人なし,茨城県日立市幸町2-6-13,1998,7 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉澤 和憲,
2024-08-01,株式会社サンコネクトスタッフィング,人材派遣,無,茨城県つくばみらい市谷井田2118-3,2006,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小森 洋一,
2024-08-01,株式会社ホットスタッフ常滑,人材派遣,無,愛知県常滑市原松町2-64,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西山 崇,■人材ビジネス業■派遣認可番号：派28-301139■有料認可番号：28-ユ-300760ホットスタッフグループは全国104拠点を構える大規模グループです。各支社で分社化し、それぞれが株式会社として独立しています。 2024年3月doda掲載求人より引用
2024-08-01,Ｍｏｎｄａｙ株式会社,人材派遣,求人なし,東京都新宿区新宿2-12-13,2014,14 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中野 誉三,
2024-08-01,つくば総合技術株式会社,人材紹介・職業紹介,求人なし,茨城県つくば市中根58-1,2014,34 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 酒井 孝,
2024-08-01,ＶＡＬＴ　ＪＡＰＡＮ株式会社,アウトソーシング,求人なし,東京都千代田区霞が関3-2-5霞が関ビルディング 36Ｆ ワークスタイリング霞が関,2014,250 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小野 貴也,
2024-08-01,株式会社アイエヌジー,人材派遣,求人なし,東京都世田谷区北烏山1-11-11,1999,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 福田 博一,
2024-08-01,株式会社イノベーション,人材紹介・職業紹介,求人なし,秋田県秋田市八橋本町3-13-17イノベーションビル 2Ｆ,2014,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 木村 実,
2024-08-01,株式会社ジョイントラボ,求人サイト・求人メディア,求人なし,東京都千代田区神田佐久間町3-5第二櫻井ビル 4Ｆ,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小森 則明,
2024-08-01,株式会社ＮＥＸＵＳ,人材派遣,求人なし,愛知県名古屋市中区栄3-32-22青木ビル 5Ｆ 北室,2014,26 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 後藤 千丈,
2024-08-01,株式会社ＱＵＥＥＮ,人材派遣,求人なし,愛知県豊川市伊奈町縫殿26-409,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡村 小夜子,
2024-08-01,株式会社あっぱれ,人材紹介・職業紹介,求人なし,宮城県仙台市青葉区中山4-5-21,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 伊東 徹也,
2024-08-01,株式会社エクシードコネクト,人材派遣,求人なし,宮城県仙台市青葉区花京院1-1-20花京院スクエア 19Ｆ,2014,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小松 美津子（鈴木美津子,
2024-08-01,株式会社アーズ,人材サービス・アウトソーシング業界・コールセンター,求人なし,東京都江東区青海2-7-4,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西瀧 順二,
2024-08-01,株式会社レインツリーパートナーシップ,人材紹介・職業紹介,求人なし,東京都中央区晴海3-13-12712,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 井上 哲也,
2024-08-01,株式会社ピーエスシースマイル,アウトソーシング,求人なし,東京都港区浜松町2-4-1世界貿易センタービル南館25Ｆ,2014,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 窪田 妙子,
2024-08-01,株式会社バンクシェア・オブ・エンタープライゼズ・トウキョウ,研修サービス,求人なし,東京都中央区銀座7-17-1,2014,81 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 兵藤 学,
2024-08-01,亜細亜教育・投資株式会社,人材紹介・職業紹介,求人なし,大阪府泉南郡岬町淡輪838-5,2014,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 邵 潔,
2024-08-01,株式会社Ｍａｕｌｏａ,人材紹介・職業紹介,求人なし,東京都中央区築地3-13-5丸促築地ビル7Ｆ,2014,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 浅澤 有希子,
2024-08-01,オフィスアイ株式会社,研修サービス,求人なし,東京都世田谷区経堂1-16-12,2008,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 平野 愛（山﨑 愛）,
2024-08-01,株式会社Ｃａｒｅｅｒ　Ｇｌａｎｚ,研修サービス,求人なし,埼玉県和光市白子2-3-40,2014,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 彭城 晃一,
2024-08-01,株式会社ファイブスターコンサルタント,人材紹介・職業紹介,求人なし,東京都新宿区市谷田町1-11-1サンシビル 2Ｆ,2014,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 五座 由洋,
2024-08-01,株式会社タイズリレーション,人材派遣,求人なし,東京都新宿区西新宿1-26-2新宿野村ビル 32Ｆ,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,Ｈ　Ａｇｅｎｔ株式会社,人材派遣,求人なし,東京都目黒区目黒本町5-2-6サンセール目黒 206,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐藤 大貴,
2024-08-01,社会保険労務士法人ヒューマン・リソース・パートナーズ,人材派遣,求人なし,大阪府大阪市中央区城見1-3-7,2009,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社インターナショナルマネジメントサポート,人材派遣,求人なし,東京都港区西新橋2-3-1マークライト虎ノ門 4Ｆ,1993,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 玉川 将由,
2024-08-01,株式会社Ｇｒｏｗｔｈ,人材紹介・職業紹介,求人なし,兵庫県加古川市平岡町新在家2-270-9吉村ビル 2Ｆ,2014,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 道下 周平,
2024-08-01,株式会社Ｅａｓｔ　Ｍａｎａｇｅｍｅｎｔ,人材紹介・職業紹介,求人なし,東京都渋谷区桜丘町23-17シティコート桜丘 4Ｆ 408,2011,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山本 健一,
2024-08-01,株式会社オッツ・インベストメント,人材派遣,求人なし,東京都中央区日本橋堀留町1-1-9久保井ビル5Ｆ,2014,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙橋 努,
2024-08-01,グローバルアストロラインズ株式会社,研修サービス,求人なし,東京都世田谷区玉川3-21-1アーバンコート玉川 4Ｆ,2011,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 児玉 教仁,
2024-08-01,今澤アソシエイツ株式会社,人材派遣,求人なし,山梨県甲府市里吉4-2-17ローランド富士 2Ｆ,2013,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今澤 俊和,
2024-08-01,Ｔ．Ｎ　ｃｒｅｗ株式会社,アウトソーシング,無,石川県白山市宮永市町530-52Ｆ,2009,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西川 知宏,
2024-08-01,トルクス株式会社,アウトソーシング,求人なし,東京都江東区木場6-6-9サモーラビル 2Ｆ,2014,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 成子 武志,
2024-08-01,株式会社Ａｒｉｓ　Ｍｅｄｉｃａｌ,人材派遣,求人なし,神奈川県横浜市青葉区青葉台1-32-61,2012,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 菅原 律子,
2024-08-01,株式会社ライフワークスタイルラボ,人材紹介・職業紹介,求人なし,東京都中央区新富1-14-1,2014,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 竹下 仁,
2024-08-01,株式会社アプエンテ,研修サービス,求人なし,東京都新宿区歌舞伎町2-46-3西武新宿駅前ビル8Ｆ,2014,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山根 義信,
2024-08-01,株式会社ヴィックスエイジ,ITアウトソーシング,1,東京都目黒区上目黒3-1-10,2014,9百万円,27.0,40,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,■事業内容： ・ITエンジニアの人材派遣紹介・ITアウトソーシング／コンサルティング・システム開発・受託■企業理念：企業理念｢ジダイ｣をつくる。どんな時代、どの業界でもサービスををみ出すのは紛れもなく「人」です。VIXAGEの社員は次の5つのバリューを大切にしております。SMILE：笑顔でいよう、笑顔をつくろうVISION：大きなビジョンを持ち、広げようRESPONSIBILITY：責任を持とう、責任を与えようBEST：常にベストを尽くそうDOCILE：いつまでも素直でいよう
2024-08-01,メディカルトレーディングカンパニー株式会社,人材紹介・職業紹介,求人なし,神奈川県茅ヶ崎市茅ヶ崎2-1-38茅ヶ崎ソシエ弐番館 305,2003,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小松 利行,
2024-08-01,サンコーグループ株式会社,人材紹介・職業紹介,求人なし,大阪府大阪市淀川区西三国3-5-10,2009,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 伊田 宗樹,
2024-08-01,株式会社グローバルクリーン,人材派遣,求人なし,東京都江東区大島2-41-16文洋ビル 7Ｆ,2004,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 久保田 直也,
2024-08-01,株式会社大阪医薬大サービス,人材紹介・職業紹介,求人なし,大阪府高槻市北園町11-14高槻北園町ビル 3Ｆ,1998,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小河 宏,
2024-08-01,株式会社リノーション,人材紹介・職業紹介,求人なし,東京都千代田区九段南2-2-7北の丸ビル1001,2011,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 神田 愼治,
2024-08-01,オークニ商事株式会社,人材派遣,無,東京都荒川区西日暮里5-34-2光ビル 1Ｆ,2008,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 尾張 良介,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ・外食事業（12種20店舗）・障がい者支援事業（5種261拠点）・福祉介護事業（2種13拠点）・フランチャイズ事業（4種の業態でフランチャイズを展開）・コンサルティング事業 2021年9月doda掲載求人より引用
2024-08-01,株式会社アイスブルー・アンド・カンパニー,人材紹介・職業紹介,求人なし,東京都中央区八丁堀1-13-10三神ビル 7Ｆ,2010,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 粟井 英仁,
2024-08-01,株式会社ヴァンクールプロモーション,人材派遣,求人なし,東京都港区南麻布4-12-25南麻布セントレ 6Ｆ,2006,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 青木 隆紀,
2024-08-01,エムジー株式会社,コールセンター,無,東京都品川区東五反田5-25-18ＥＮＺＯ五反田ビル 2Ｆ,2007,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 石鍋 忠行,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■BPOに関するアウトソーシングサービス■コンサルティングサービス■コンタクトセンターの構築・運営■ヘルプデスクの構築・運営 ■人材派遣・紹介サービスの提供（派遣許可番号：派13-303260）（有料職業紹介事業許可：13-ユ-304908） 2022年12月doda掲載求人より引用
2024-08-01,ＳＨＡＨＡＮＩ　ＡＳＳＯＣＩＡＴＥＳ株式会社,人材紹介・職業紹介,求人なし,東京都港区六本木1-8-7,2005,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 シャハニ・ヴィクラム・ジャクマル,
2024-08-01,株式会社ＳＫＹ　ＣＡＲＥＥＲ,人材派遣,求人なし,東京都千代田区九段南3-8-10川内ビル 3Ｆ,2013,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小島 国治,
2024-08-01,ＫＩ　ＭＡＮＡＧＥＭＥＮＴ株式会社,研修サービス,求人なし,東京都千代田区一番町4-4一番町笹田ビル 1Ｆ,2005,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤平 信一,
2024-08-01,アシストワーク株式会社,アウトソーシング,無,東京都新宿区百人町1-22-24朝日ビル弐Ｆ,2014,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 鳩澤 晴輝,
2024-08-01,株式会社ＡｉＭ,人材紹介・職業紹介,求人なし,東京都中央区日本橋兜町20-5兜町八千代ビル 6Ｆ,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 角田 理紗,
2024-08-01,株式会社Ｆ－ＭＯＩネットワークス,技術系アウトソーシング（特定技術者派遣）,求人なし,東京都足立区綾瀬5-17-9,2014,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 多々納 和利,
2024-08-01,株式会社経営承継,人材紹介・職業紹介,求人なし,東京都千代田区麹町4-5-20,2014,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 幾島 光子,
